"idclient","idcompany","idmember","idaccount","idcategory","defaultcategory","period_yyyymm","monthly_total"
1,"52","101558",INT87741,Other,Other,"2025-01",2681.67
1,"52","101558",INT87743,Other,Other,"2024-12",707.00
1,"52","101558",INT87741,Other,Other,"2024-12",1110.54
1,"52","101558",INT87742,Other,Other,"2024-12",2057.97
1,"52","101558",INT4,Other,Other,"2024-12",23609.19
1,"52","101558",INT5,Other,Other,"2024-12",3013.50
1,"52","101558",INT5,Other,Other,"2024-11",1356.88
1,"52","101558",INT4,Other,Other,"2024-11",10342.14
1,"52","101558",INT87743,Other,Other,"2024-11",685.00
1,"52","101558",INT87741,Other,Other,"2024-11",1988.06
1,"52","101558",INT87742,Other,Other,"2024-11",1937.45
1,"52","101558",INT92345,Other,Other,"2024-11",25056.31
1,"52","101558",INT87742,Other,Other,"2024-10",1056.36
1,"52","101558",INT87743,Other,Other,"2024-10",474.88
1,"52","101558",INT87741,Other,Other,"2024-10",3878.30
1,"52","101558",INT4,Other,Other,"2024-10",13124.98
1,"52","101558",INT5,Other,Other,"2024-10",3448.76
1,"52","101558",INT5,Other,Other,"2024-09",1535.47
1,"52","101558",INT4,Other,Other,"2024-09",10285.90
1,"52","101558",INT87741,Other,Other,"2024-09",3290.79
1,"52","101558",INT87742,Other,Other,"2024-09",952.76
1,"52","101558",INT87743,Other,Other,"2024-09",1051.19
1,"52","101558",INT87742,Other,Other,"2024-08",683.64
1,"52","101558",INT87743,Other,Other,"2024-08",1539.58
1,"52","101558",INT87741,Other,Other,"2024-08",3270.88
1,"52","101558",INT4,Other,Other,"2024-08",9784.24
1,"52","101558",INT5,Other,Other,"2024-08",984.38
1,"52","101558",INT5,Other,Other,"2024-07",1006.56
1,"52","101558",INT4,Other,Other,"2024-07",10772.24
1,"52","101558",INT87743,Other,Other,"2024-07",1603.94
1,"52","101558",INT87742,Other,Other,"2024-07",1700.02
1,"52","101558",INT87741,Other,Other,"2024-07",3049.16
1,"52","101558",INT87743,Other,Other,"2024-06",993.57
1,"52","101558",INT87741,Other,Other,"2024-06",7032.66
1,"52","101558",INT87742,Other,Other,"2024-06",1140.13
